Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Unintegrated_HVG_only,0.5533047,0.7599704329085731,0.5630736411911951,0.5359164290130138,0.9957965124737133,0.9099225,0.09807641804218292,0.05943438226388058,0.6077635604814767,4.302918426756679e-05,0.3350479741109997,0.6816123375655412,0.5429865921837246
train_100_encoder_0.0_False,0.4765415,0.7068666138400197,0.549998345534511,0.5228842496871948,0.9903980412266471,0.8783653,0.2686609625816345,0.31281928372595574,0.6519695092721247,0.3649874717372796,0.49536050111220264,0.6493377479302179,0.5877468492030118
train_100_encoder_0.0_True,0.5839138,0.7572825937055965,0.5018780040067166,0.5639374852180481,0.997486721385609,0.8485002,0.3221800923347473,0.3831286009506411,0.6917032304252212,0.5113312897617166,0.5513686811275402,0.6808997214833112,0.6290873053410029
train_16_encoder_0.0_False,0.48230883,0.7061301385032764,0.48820585932399135,0.5251060426235199,0.9911139932545748,0.877868,0.2633415758609772,0.31108939790278956,0.6444750687003096,0.3622043102483604,0.49179566988101886,0.6385729736993092,0.579862052171993
train_16_encoder_0.0_True,0.5912444,0.7663804000763993,0.613258338910175,0.5704133287072182,0.9975620643659071,0.84899455,0.3245047628879547,0.3965473980321465,0.6955148809086348,0.5087388953295238,0.5548600980494804,0.7077717063214554,0.6466070630126654
train_32_encoder_0.0_False,0.4791733,0.7195351871771778,0.651366384771792,0.5239044278860092,0.9908203157511625,0.87982476,0.26686418056488037,0.32158326309818536,0.6423337101598063,0.35761424850571233,0.49364403198091467,0.6729599236473186,0.601233566980757
train_32_encoder_0.0_True,0.57903904,0.7651028333556776,0.5683222300655723,0.5685853809118271,0.9975909970023416,0.84905386,0.3228589594364166,0.3753540431757753,0.7029019797744225,0.5180061187369834,0.5536349921668583,0.6957280957126099,0.6388908542943093
train_4_encoder_0.0_False,0.49637666,0.7315418735973052,0.6074952171956957,0.5278000272810459,0.99184650182724,0.8832396,0.25373750925064087,0.30125618819445127,0.645384876961998,0.3454811902900903,0.48581987831632817,0.6710120566695427,0.5969351853282568
train_4_encoder_0.0_True,0.5858686,0.7587040757952458,0.5092057062569231,0.5979330912232399,0.9979885654015974,0.84299976,0.32463598251342773,0.40067092209487015,0.6889685339334413,0.5258946506261332,0.5566339691008169,0.6899400071415293,0.6366175919252443
train_64_encoder_0.0_False,0.47470298,0.7123210493041114,0.5523192784021942,0.5239126086235046,0.9910787181420759,0.87619066,0.26595860719680786,0.3159771739314963,0.6531422922106518,0.3675239803076059,0.495758543206119,0.6508669277133012,0.5888235739104284
train_64_encoder_0.0_True,0.59123176,0.7647417453805408,0.7223528792549208,0.5616459548473358,0.9973394572734833,0.850067,0.3189445734024048,0.3672648659119664,0.6921737096080391,0.5025302917971077,0.5461960920364207,0.727462360023833,0.6549558528288681
train_8_encoder_0.0_False,0.4836255,0.7151144117160749,0.49640806004767685,0.5268940906971693,0.9914224364540793,0.8795137,0.2596876323223114,0.29645498833041156,0.6503758728050192,0.3456425009082673,0.48633493506018316,0.6426929000618544,0.5801497140611859
train_8_encoder_0.0_True,0.58892006,0.7704613802838514,0.5901117565123493,0.5695491135120392,0.9974363419142637,0.8489772,0.323758602142334,0.39623492496916546,0.6868375843836731,0.5050691764116485,0.5521754992088667,0.7032957298084839,0.6428476375686369
train_umap_100_encoder_0.0_False,0.34510422,0.625745212979997,0.23142257019907866,0.5285512823611498,0.9844731227918104,0.6747292,0.4115374684333801,0.27795125134063575,0.43877509558182787,0.41262071362437425,0.44312275139998647,0.5430592811722665,0.5030846692633545
train_umap_100_encoder_0.0_True,0.59180117,0.6973270480696208,0.26234909500583115,0.5713389366865158,0.9960017204284668,0.696682,0.4093506932258606,0.46578070551275585,0.5665991612142209,0.10521696636178873,0.44872590052659717,0.6237635933449717,0.5537485162176219
train_umap_16_encoder_0.0_False,0.34747434,0.641943085511922,0.23913001123973918,0.5384793505072594,0.9878508069298484,0.6771493,0.402815580368042,0.33765633259197037,0.4392740516852361,0.3379868864492376,0.43897642938027415,0.550975518162583,0.5061758826496594
train_umap_16_encoder_0.0_True,0.5744805,0.7007484250144882,0.28034532860346917,0.5692539140582085,0.9961044788360596,0.6892732,0.40915000438690186,0.4883897873842636,0.5562744699772556,0.054420330814357584,0.4395015542280404,0.6241865241014868,0.5503125361521082
train_umap_32_encoder_0.0_False,0.33093265,0.6358445907127903,0.25129024215659224,0.5362962819635868,0.9876188744198192,0.67727685,0.4075819253921509,0.3285309788240234,0.437159879114487,0.3173665332024187,0.4335832332559568,0.5483965272485222,0.502471209651496
train_umap_32_encoder_0.0_True,0.57448417,0.6982080517712139,0.2735281600669749,0.5733428671956062,0.9961977113376964,0.6962087,0.4063551425933838,0.4836949344311045,0.5759253656944546,0.0683796231229332,0.44611275625614377,0.6231521919709352,0.5523364176850186
train_umap_4_encoder_0.0_False,0.34706008,0.6586143751804515,0.2850700981969634,0.5509355962276459,0.9889462373473428,0.685653,0.39946722984313965,0.3412407912859449,0.45138645152030654,0.3494174818396988,0.445432985151358,0.566125278259072,0.5178483610159864
train_umap_4_encoder_0.0_True,0.5451214,0.6979729726343482,0.26593357244795973,0.5787299796938896,0.9963521659374237,0.69368255,0.4077800512313843,0.4463293908285906,0.5530752318508565,0.08215449534220472,0.43660434412740157,0.6168220124919369,0.5447349451461228
train_umap_64_encoder_0.0_False,0.33038726,0.6483980623626114,0.261082860301756,0.5358134508132935,0.9886492897163738,0.67873836,0.40230321884155273,0.301797791779708,0.4565888164974401,0.3126203035126331,0.43040969725358613,0.5528661855368324,0.5038835902235339
train_umap_64_encoder_0.0_True,0.5504074,0.7011809672753265,0.2912175294779246,0.5655317157506943,0.9958713271401145,0.6888711,0.4031261205673218,0.44219073542755016,0.56247579501356,0.1284895057287728,0.44503064847619456,0.6208417898624058,0.5505173333079213
train_umap_8_encoder_0.0_False,0.31711367,0.6507812420428685,0.2530268322772517,0.5461579635739326,0.9887958494099703,0.6732758,0.3986797332763672,0.3199047022587816,0.4619140109264073,0.36763002348638335,0.4442808596618901,0.5511751110061079,0.5084174104684208
train_umap_8_encoder_0.0_True,0.56618977,0.699846717993693,0.2682142875721685,0.5733203887939453,0.9959784962914207,0.69883305,0.4085161089897156,0.49023846342307886,0.5647242286736529,0.2137634541876217,0.4752150607235455,0.6207099313162805,0.5625119830791865
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
