Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
Concerto_128_decoder_0.0,0.5,0.01749467882854954,9.86791272692092e-07,0.5,0.7711973985036215,1.0,0.7948597499302456,0.2062418839999665,0.017802408797458678,0.9999999999999998,0.6037808085455341,0.3577386128246888,0.4561554911130269
Concerto_128_decoder_0.1,0.5,0.01785014164383803,-1.162236483500333e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.2062313759804299,0.017802408797458678,0.9999999999999998,0.6037787069416268,0.3578092755821952,0.45619704812596784
Concerto_128_encoder_0.0,0.52578723,0.7537447028484132,0.6568101162853203,0.503570650704205,0.9969657699267069,0.95659107,0.28280796323503765,0.25293055930718683,0.7899415172996808,0.12457122176831167,0.4813684662617101,0.6873756948141961,0.6049728033932018
Concerto_128_encoder_0.1,0.5239421,0.7196161038535437,0.605923402622695,0.5006352834170684,0.9965306520462036,0.95635134,0.2827906608581543,0.24510890165383162,0.7903272275564831,0.08978911277156765,0.4728734485314168,0.6693295109724359,0.5907470859960282
Concerto_16_decoder_0.0,0.5,0.0173716903012899,-5.155314687843973e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20622843499713117,0.017802408797458678,0.9999999999999998,0.6037781187449671,0.35771278669804474,0.45613891951681373
Concerto_16_decoder_0.1,0.5,0.017393771658786052,-1.4966877207731604e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20622754349446623,0.017802408797458678,0.9999999999999998,0.603777940444434,0.35771793469493735,0.45614193699473604
Concerto_16_encoder_0.0,0.5262748,0.7352188409772498,0.5914271372579772,0.5041033904999495,0.9978025515874227,0.95105886,0.2748399462018694,0.2575332900027932,0.7888746404169108,0.009185222667144022,0.4562983927764446,0.6709653441246395,0.5850985635853615
Concerto_16_encoder_0.1,0.52496886,0.742459744808684,0.6305922001045476,0.5027345994021744,0.9978024999300639,0.95159847,0.27647331782749723,0.25431687658299035,0.7870419965946347,0,0.4538861312895559,0.6797115813558078,0.589381401329307
Concerto_203_decoder_0.0,0.5,0.01753372111381268,-1.680523198690644e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20623303040844365,0.017802408797458678,0.9999999999999998,0.6037790378272296,0.35774588781884714,0.45615914782220013
Concerto_203_decoder_0.1,0.5,0.017599736232048024,-4.805023663590312e-07,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20622929071336327,0.017802408797458678,0.9999999999999998,0.6037782898882135,0.3577593308466606,0.4561669144632818
Concerto_203_encoder_0.0,0.5242531,0.7431881158739154,0.7002540906022962,0.5030204763170332,0.996388320128123,0.95688635,0.28740988458905903,0.25515188944525385,0.7922320507096446,0.2065262774280482,0.49964129065611135,0.6934208146551658,0.615909005055544
Concerto_203_encoder_0.1,0.52412045,0.7246417876599986,0.6140016079885385,0.5041508600115776,0.996613876024882,0.9573308,0.28485233443123953,0.25463064453566575,0.7789224808449398,0.13919601371156895,0.48298645929361095,0.6727057163409667,0.5968180135220243
Concerto_32_decoder_0.0,0.5,0.01729508077828573,-2.518037252360647e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.2062484571469873,0.017802408797458678,0.9999999999999998,0.6037821231749383,0.35769799224893095,0.45613164461933386
Concerto_32_decoder_0.1,0.5,0.017501055878931453,-3.0262451630903343e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20621751199149352,0.017802408797458678,0.9999999999999998,0.6037759341438396,0.3577390856274779,0.4561538250340226
Concerto_32_encoder_0.0,0.5249961,0.7323430327101187,0.6111274133586465,0.5059830895625055,0.9970446348190307,0.95646805,0.2835850034441267,0.25901586095241685,0.7942677103484541,0.11042628028673179,0.4807525801486494,0.6742988544613067,0.5968803447362437
Concerto_32_encoder_0.1,0.52365255,0.7449788911828517,0.6526506666243186,0.5034495075233281,0.997063934803009,0.95556444,0.2809869221278599,0.2527996139940494,0.7818619175237804,0.052598319755234456,0.46476224253952925,0.6843591107383714,0.5965203634588345
Concerto_4_decoder_0.0,0.5,0.017337984767781846,-4.226506154288639e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20626105786253665,0.017802408797458678,0.9999999999999998,0.6037846433180482,0.3577062313530498,0.45613759613904914
Concerto_4_decoder_0.1,0.5,0.017429226026928785,-3.0511182636722292e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20624353467248754,0.017802408797458678,0.9999999999999998,0.6037811386800384,0.35772471468245726,0.4561472842814897
Concerto_4_encoder_0.0,0.52530545,0.7870915679290561,0.6775593026859503,0.5083943456411362,0.9993095318476359,0.93282044,0.26361349650791716,0.23692973582017127,0.7179208873616708,0,0.4302569118056886,0.6995320396132789,0.5918219884902428
Concerto_4_encoder_0.1,0.5306888,0.7907056792252305,0.6925588800548027,0.5135680520907044,0.9994196216265361,0.93099105,0.2578347751072475,0.23686783567350173,0.7385153961081872,0,0.43284181209403483,0.7053882110533427,0.5963696514696195
Concerto_64_decoder_0.0,0.5,0.017335965024004852,3.882600373678712e-07,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20622794499149225,0.017802408797458678,0.9999999999999998,0.6037780207438393,0.35770675035753274,0.4561352585120554
Concerto_64_decoder_0.1,0.5,0.017332932414158727,6.038247249708599e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20622039677593895,0.017802408797458678,0.9999999999999998,0.6037765111007285,0.35770727383300593,0.45613496874009496
Concerto_64_encoder_0.0,0.52438766,0.7321578913739816,0.5828865253581011,0.5024438675027341,0.9969722986221313,0.95583665,0.2838647706168039,0.2539626863587628,0.7892132158401785,0.1372357735276953,0.4840226200105704,0.6677696480998626,0.5942708368641457
Concerto_64_encoder_0.1,0.5252595,0.7328163741974416,0.6176802579286111,0.5040866052731872,0.9969525575637818,0.95588523,0.2832572800772531,0.2495529792487262,0.7873750704544741,0.07257108641839422,0.46972832953875016,0.675359057948903,0.5931067665848418
Concerto_8_decoder_0.0,0.5,0.017218080777864676,-4.106526859203369e-06,0.5,0.7711973985036215,1.0,0.7948597499302456,0.2062262986766521,0.017802408797458678,0.9999999999999998,0.6037776914808713,0.35768227455092544,0.4561204413229038
Concerto_8_decoder_0.1,0.5,0.017782670727894453,-4.4537687435194957e-07,0.5,0.7711973985036215,1.0,0.7948597499302456,0.20624613077711576,0.017802408797458678,0.9999999999999998,0.6037816579009639,0.3577959247709283,0.4561902180229426
Concerto_8_encoder_0.0,0.52920204,0.7813835564202788,0.6729911552170633,0.5057414979673922,0.9990310589472453,0.9411025,0.26463944571358816,0.2543064444627824,0.7687729624565185,0,0.44576427147262265,0.6976698625124284,0.596907626096506
Concerto_8_encoder_0.1,0.5291865,0.7830963101964248,0.6834544865326934,0.5062624821439385,0.9990666548411051,0.94117576,0.26413025174822125,0.25629129529916567,0.7749344678049824,0,0.4473063547382045,0.7002132841824075,0.5990505124047263
Unintegrated,0.43622565,0.6412744112864421,0.4660426773139416,0.4703630767762661,0.9981839974721273,0.83670783,0.17323340688432967,0.2356028531758323,0.7756268292254919,0.49699016593394263,0.5036322171297348,0.6024179631086959,0.5629036647171115
Unintegrated_HVG_only,0.5738933,0.7520664811170699,0.4705185173957913,0.5739626958966255,0.999999984105428,0.9375225,0.15621222768511092,0.16241775778263337,0.851464425473907,1.7988315179396008e-05,0.4215269740415821,0.6740881974308882,0.5730637080751658
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
