Embedding,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
128_encoder_0.1,0.53413016,0.7979382262008523,0.6991622400559575,0.5290397237986326,0.999442442258199,0.9552486,0.2920550618852888,0.31188592755807837,0.7816899993167117,0.48599361716236955,0.5653746400413013,0.7119425576707666,0.6533153906189806
132_encoder_0.1,0.53707075,0.7576189856265239,0.7018192987518213,0.5354311726987362,0.9996119896570842,0.95516384,0.2856627532414028,0.33659871142288394,0.8095216677450177,0.5802321153850267,0.5934358168547036,0.7063104395848703,0.6611605904928036
16_encoder_0.1,0.5474776,0.8128571043684696,0.7570622192433214,0.5494621992111206,0.9996791919072469,0.9475821,0.26966278893607004,0.2781374951539246,0.8200768651233779,0.5782057073715338,0.5787329964497328,0.7333076635377676,0.6714777967025536
32_encoder_0.1,0.5414012,0.8367605031829319,0.8504684854731294,0.5389578677713871,0.9996011892954508,0.950418,0.2818678787776402,0.30465002386687134,0.7990270998092415,0.4875107613880134,0.5646947518589294,0.7534378506339902,0.6779406111239659
4_encoder_0.1,0.5909288,0.8593370624983551,0.8404514772179239,0.5899595022201538,0.9999999880790711,0.92661554,0.17969087191990443,0.21800092327161416,0.8659058748118391,0.5860230888290229,0.5552472590090602,0.776135364593799,0.6877801223599034
64_encoder_0.1,0.5385043,0.786926102422716,0.6566359357935474,0.5307872015982866,0.9994167804718017,0.95486176,0.27931145259312223,0.3299421889492728,0.8024990620829874,0.43853737884383553,0.5610303685217366,0.7024540645576061,0.6458845861432583
8_encoder_0.1,0.5277918,0.7192466833172901,0.6581686541526888,0.5228629969060421,0.9995918194452922,0.9420551,0.27851458958217074,0.4165856592784033,0.7495248869222916,0.631139509204864,0.6035639502301509,0.685532390387218,0.6527450143243911
Unintegrated,0.43622565,0.6395516791762109,0.4656440601512616,0.4703630805015564,0.998184331258138,0.83670783,0.17325043678283691,0.2363312225493166,0.7757149660137874,0.49699147859478005,0.5037991868739596,0.6019937607563738,0.5627159312034081
Unintegrated_HVG_only,0.5738933,0.7522051493720662,0.4712641202780525,0.5739626958966255,0.999999984105428,0.9375225,0.15621651921953475,0.1620120837140107,0.8514786581800162,1.652980313782336e-05,0.42144925237355596,0.6742650516583397,0.5731387319444262
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
