,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total,combine_omics,model_type,batch_size,epoch,lr,drop_rate,heads,Embedding
0,0.5269891,0.8103198761182313,0.8577076246026033,0.5615355670452118,0.9994628429412842,0.91913974,0.17253013090653854,0.06371791553762259,0.8054440520568089,0.3602798295657288,0.4642223341835912,0.7512030026141834,0.6364107352419465,0,2,64,100,0.0001,0.1,64,
1,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,2,64,100,0.0001,0.1,64,
2,0.49404362,0.24507490917423091,0.16231791895544273,0.4970054856967181,0.9075564940770467,0.91634506,0.2626036297191273,0.11428556828759666,0.6248317271219725,0.30661029778420495,0.44493525655691507,0.4611996852688133,0.454693913784054,1,0,64,100,0.0001,0.1,16,
3,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,16,
4,0.5326534,0.7238602438282432,0.6958441046068702,0.571209616959095,0.9988307853539785,0.881556,0.2351020032709295,0.14424335100976643,0.8279836238176829,0.5055202302906204,0.5188810365744978,0.7044796284218846,0.6302401916829299,0,5,64,100,0.0001,0.1,16,
5,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,16,
6,0.5305215,0.7824953161931057,0.8222508350229699,0.5757077932357788,0.9989798367023468,0.8892552,0.2234760197726163,0.12197307115574002,0.8352386086964091,0.4810632929918455,0.5102012436550056,0.7419910586371513,0.649275132644293,0,2,64,100,0.0001,0.1,16,
7,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,2,64,100,0.0001,0.1,16,
8,0.50804216,0.510512082794047,0.5206091149425239,0.5128912050276995,0.9687945346037546,0.9616242,0.2122701731595126,0.08528991662996657,0.7643347148772965,0.6034181271850003,0.5253874273928466,0.6041698188128689,0.57265686224486,1,0,64,100,0.0001,0.1,128,
9,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,128,
10,0.5179001,0.769979524293262,0.7786765470329636,0.5396516025066376,0.9984894394874573,0.9367168,0.16619808023626154,0.06605706549389644,0.7872763455227454,0.36482337279426974,0.4642143318029649,0.7209394445222794,0.6182493994345536,0,1,64,100,0.0001,0.1,128,
11,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,100,0.0001,0.1,128,
12,0.5274389,0.7972960947601052,0.8299449838667686,0.553701601922512,0.9993366102377573,0.93977517,0.1482275832783092,0.046272590177822766,0.8006405849000708,0.3575767784551579,0.45849854114141636,0.741543633960041,0.6283255968325911,0,3,64,100,0.0001,0.1,64,
13,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,3,64,100,0.0001,0.1,64,
14,0.52452636,0.7074264005342682,0.6522443029475135,0.5561208985745907,0.9974755942821503,0.899287,0.24876733259721237,0.14443836887032574,0.8064948988264817,0.5647783842455913,0.53275319398739,0.6875587107978559,0.6256365040736696,0,4,64,100,0.0001,0.1,16,
15,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,4,64,100,0.0001,0.1,16,
16,0.50487304,0.4353450593689028,0.3811827965087852,0.5083478074520826,0.9595741927623749,0.956705,0.22805898839777167,0.10953937072482793,0.7577484336595391,0.5604221186655524,0.5224947771244381,0.5578645786860805,0.5437166580614236,1,0,64,100,0.0001,0.1,64,
17,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,64,
18,0.5186132,0.7792266185066488,0.8150125325954066,0.54245500639081,0.9989325602849325,0.9326694,0.17454008622602982,0.07783808678654175,0.7806078160369648,0.4259822546994144,0.4783275289835548,0.7308479874077934,0.6298398040380979,0,5,64,100,0.0001,0.1,128,
19,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,128,
20,0.5307386,0.7458710721006423,0.7694190182003753,0.5651172921061516,0.9983393847942352,0.8962536,0.24776744842529297,0.1529807872875127,0.8266156238702054,0.5552238824568109,0.5357682655710503,0.7218970718698463,0.6474455493503279,0,1,64,100,0.0001,0.1,16,
