,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total,combine_omics,model_type,batch_size,epoch,lr,drop_rate,heads,Embedding
0,0.4521018,0.7905498359867125,0.7717397807655185,0.5658740997314453,0.9984665567224676,0.9102888,0.22670388221740723,0.1486937995031243,0.743239346106392,0.4131824733760365,0.48842166238658813,0.7157464140143215,0.6248165133632282,0,2,64,100,0.0001,0.1,64,
1,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,2,64,100,0.0001,0.1,64,
2,0.49804947,0.6985588460275055,0.6686392412399969,0.5152803976088762,0.990903301672502,0.9290574,0.27004122734069824,0.1882864154614179,0.8155765091739181,0.608782080402405,0.5623487303357038,0.6742862508701857,0.6295112426563929,1,0,64,100,0.0001,0.1,128,
3,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,128,
4,0.45323837,0.7348735996340543,0.655084323212711,0.5647514685988426,0.9966285445473411,0.8975876,0.2684451738993327,0.23701359450402923,0.8252730579962179,0.4587604982905647,0.5374159844120585,0.6809152608054623,0.6235155502481007,0,1,64,100,0.0001,0.1,16,
5,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,100,0.0001,0.1,16,
6,0.44828817,0.780377529669202,0.7403913195162589,0.561504241079092,0.9981687502427534,0.91201353,0.24154369036356607,0.17606647686890822,0.7329634654200784,0.44539260423625576,0.5015959535240019,0.7057460025981501,0.6240859829684908,0,5,64,100,0.0001,0.1,64,
7,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,64,
8,0.45928696,0.7590950787735686,0.6973772290972666,0.547726035118103,0.9980352141640403,0.92072743,0.23004587491353354,0.14950041093752361,0.7538225669883917,0.44623023539120527,0.5000653040009586,0.6923041030264361,0.615408583416245,0,3,64,100,0.0001,0.1,64,
9,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,3,64,100,0.0001,0.1,64,
