,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total,combine_omics,model_type,batch_size,epoch,lr,drop_rate,heads,Embedding
0,0.5441334,0.8687780145290134,0.8968530240789663,0.5570280030369759,0.999999965940203,0.9451909,0.2727957453046526,0.036029938742391944,0.9245870397819798,0,0.4357207260707365,0.773358486468814,0.638303382309583,1,0,64,150,0.0001,0.1,128,
1,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,150,0.0001,0.1,128,
2,0.54638916,0.8019997240524582,0.7686866983703804,0.5368623659014702,0.9999999523162841,0.96221215,0.27552407128470285,0.02258102473789773,0.9429574195587866,0,0.4406549321819818,0.7307875806362057,0.6147345212545162,1,0,64,3,0.001,0.1,128,
3,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128,
4,0.6047367,0.8272294767624282,0.7454289818297924,0.6192282140254974,0.9999999829701015,0.93005705,0.23457469258989608,0.04730908882031027,0.9116675466322943,0.0798154754572223,0.4406847704594662,0.7593246682681377,0.6318687091446691,0,3,64,150,0.0001,0.1,128,
5,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,3,64,150,0.0001,0.1,128,
6,0.5464665,0.8012090602021844,0.7671993725606289,0.5369236320257187,0.9999999523162841,0.9621982,0.2756352424621582,0.022706220968870452,0.9428599347503389,0,0.44067991920460237,0.7303597092948341,0.6144877932587414,1,0,64,3,0.001,0.1,128,
7,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128,
8,0.61616504,0.8717311267913014,0.8471190337963814,0.6302123814821243,0.9999999829701015,0.9230876,0.2619896616254534,0.07842318312950078,0.9166631931924282,0.16034220963896423,0.46810116889593145,0.7930455133926864,0.6630677755939844,0,1,64,100,0.0001,0.1,64,
9,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,100,0.0001,0.1,64,
10,0.54638046,0.8886485821924994,0.8798324439776517,0.5368415750563145,0.9999999523162841,0.96222454,0.27555762018476215,0.022565135479589018,0.9429308199536419,0,0.44065562374252565,0.7703406027610097,0.638466611153616,1,0,64,3,0.001,0.1,128,
11,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128,
12,0.63275206,0.8257567217703441,0.7192389910801784,0.6378478705883026,0.9999999829701015,0.9152948,0.30210815157209125,0.09838950094297494,0.9388366649379313,0.25861369283510993,0.5026485672637678,0.763119125459825,0.658930902181402,0,1,64,100,0.0001,0.1,16,
13,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,100,0.0001,0.1,16,
14,0.6332726,0.8333278259672753,0.7514766240518961,0.6412781178951263,0.9999999829701015,0.912345,0.32914488656180246,0.11464087768960536,0.9374905267461542,0.3406798481878996,0.5268602262692517,0.7718710278274841,0.6738667072041911,0,3,64,100,0.0001,0.1,16,
15,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,3,64,100,0.0001,0.1,16,
16,0.5525606,0.8937532100671267,0.923806215909138,0.5686993226408958,0.9999999829701015,0.9418197,0.2620525360107422,0.03532555832081542,0.9373329634621685,0,0.4353061570429066,0.7877638718095483,0.6467807859028916,1,0,64,100,0.0001,0.1,128,
17,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,128,
18,0.54637754,0.7997968733631722,0.7634220810210766,0.5368387587368488,0.9999999523162841,0.9622243,0.27552904401506695,0.02217881183425635,0.9429749251598923,0,0.4405814171370543,0.7292870410144173,0.6138047914634721,1,0,64,3,0.001,0.1,128,
19,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128,
20,0.6085423,0.8354248901095916,0.7536255207281054,0.6171174943447113,0.9999999829701015,0.92702144,0.24925480570111955,0.060884267723253886,0.9121262554788157,0.19757759008178521,0.4693728725657632,0.7629420422529996,0.645514374378105,0,1,64,150,0.0001,0.1,128,
21,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,150,0.0001,0.1,128,
22,0.6337228,0.8157827716912375,0.7325183694683788,0.641142874956131,0.9999999829701015,0.90416706,0.34208832468305317,0.11216407392909217,0.9381145376358198,0.3341769112780059,0.5261421807219301,0.7646333562441717,0.6692368860352751,0,2,64,100,0.0001,0.1,16,
23,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,2,64,100,0.0001,0.1,16,
24,0.54645807,0.8690119027291203,0.8572381467970037,0.5369057096540928,0.9999999523162841,0.96221447,0.2756157602582659,0.022778213124287364,0.9426259568261127,0,0.44064688002366675,0.7619227554012594,0.6334124052502224,1,0,64,3,0.001,0.1,128,
25,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128,
26,0.5463595,0.8861572990256082,0.8795640914689081,0.5368644893169403,0.9999999523162841,0.9622138,0.27545104707990375,0.023169112971071406,0.9426970664225923,0,0.4407062081464286,0.7697890623110156,0.6381559206451808,1,0,64,3,0.001,0.1,128.h5ad,
27,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,3,0.001,0.1,128.h5ad,
28,0.6098508,0.8391914589183759,0.8084222202391271,0.6176542416214943,0.9999999829701015,0.92607,0.25685674803597586,0.06357864388459064,0.915036808929038,0.17761027986442052,0.46783049112266345,0.7750237455256681,0.6521464437644663,0,1,64,100,0.0001,0.1,128,
29,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,1,64,100,0.0001,0.1,128,
