,Isolated labels,Leiden NMI,Leiden ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total,combine_omics,model_type,batch_size,epoch,lr,drop_rate,heads,Embedding
0,0.6201086,0.8202553012514969,0.7310636440565782,0.627870962023735,0.9999999829701015,0.92244256,0.2824086461748396,0.09057664666369698,0.9233244655464038,0.22969449860174096,0.48968936248284656,0.7598596989466129,0.6517915643611063,0,5,64,100,0.0001,0.1,64,
1,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,64,
2,0.5414864,0.6431985209766482,0.6930615683025466,0.5516892597079277,0.9979003156934466,0.91340864,0.3752189704350063,0.07279125476602574,0.9265752232586353,0,0.45759881710129624,0.685467209433001,0.594319852500319,1,0,64,100,0.0001,0.1,16,
3,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,16,
4,0.6117274,0.8266689722331221,0.7471316432974624,0.6184254288673401,0.9999999829701015,0.92120564,0.2706550530024937,0.08074525523507325,0.9170497126245474,0.2453139962172692,0.48699393138371116,0.7607906887766753,0.6512719858194896,0,5,64,100,0.0001,0.1,128,
5,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,128,
6,0.55231994,0.8477603491443688,0.850647540922005,0.5677808746695518,0.9999999829701015,0.9419589,0.2626716409410749,0.037878808087253246,0.9381466686078803,0,0.43613120438051317,0.7637017383221808,0.6326735247455137,1,0,64,100,0.0001,0.1,128,
7,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,128,
8,0.6470336,0.812756785998253,0.7183745376033319,0.6583081036806107,0.9999999829701015,0.9073879,0.3506941114153181,0.11412448756604007,0.9410482304447813,0.3871863315761409,0.5400882146551375,0.7672945964898515,0.676412043755966,0,5,64,100,0.0001,0.1,16,
9,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,5,64,100,0.0001,0.1,16,
10,0.5530021,0.7843155078847449,0.7694004320259853,0.5723760202527046,0.999999965940203,0.935422,0.28585852895464214,0.03451234666878698,0.9254912393001173,0,0.43625682363854834,0.7358188090335938,0.6159940148755756,1,0,64,100,0.0001,0.1,64,
11,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,1,0,64,100,0.0001,0.1,64,
12,0.62599653,0.8231482960573065,0.720882832850002,0.623440645635128,0.9999999829701015,0.91074055,0.3269172055380685,0.109629001468183,0.9381343951018928,0.36035197338842806,0.5291546259658612,0.7586936575137075,0.6668780448945689,0,4,64,100,0.0001,0.1,16,
13,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score,0,4,64,100,0.0001,0.1,16,
