,epoch,onlyImage,modality,accuracy,f1_median,f1_macro,f1_weighted
0,4,False,both,0.3720414201183432,0.40524099204492275,0.28593812756458925,0.42012415510018597
1,8,False,both,0.7252835305719921,0.6918625678119348,0.5605942292625297,0.7244782736016688
2,16,False,both,0.7258690828402367,0.7288599794590893,0.5593696112532498,0.7215584511331637
3,32,False,both,0.727379191321499,0.7109103544127867,0.560093555555892,0.726111806453539
4,54,False,both,0.7346831854043393,0.7178688808164676,0.5626669575528044,0.7286823945605487
5,4,True,RNA,0.7178562623274162,0.7168276563294356,0.5632009642939175,0.7176566046648774
6,4,True,image,0.16404709072978305,0.020092316046701055,0.06552336228894355,0.1259948160543448
7,8,True,RNA,0.7148360453648915,0.7030514385353095,0.5469294714337011,0.7190716583191263
8,8,True,image,0.13270463510848127,0.06867508908325236,0.06947208430978474,0.10013418156233293
9,16,True,RNA,0.7302144970414202,0.7156931738212527,0.5696941973404599,0.7280931106562686
10,16,True,image,0.2913276627218935,0.04119287706500751,0.09929848083252311,0.22614353243967378
11,32,True,RNA,0.7253759861932939,0.6993302784631653,0.5622770710542335,0.724225618905452
12,32,True,image,0.1684233234714004,0.09059474412171507,0.0955228459380941,0.17165965189187019
13,54,True,RNA,0.7290742110453649,0.7222696974876089,0.5584800212882596,0.7254085313929655
14,54,True,image,0.28991000986193294,0.02817460317460317,0.09111778994697388,0.21452332415547037
